"file.name","label","duration","start.time","f1","f2","f3","f4","f5","f6","f7","f8","f9","f10","f11","f12","f13","f14","f15","f16","f17","f18","f19","f20","f21","f22","f23","f24","f25","f26","f27","f28","f29","f30","f31","f32","f33","f34","f35","f36","f37","f38","f39","f40","f41","f42","f43","f44","f45","f46","f47","f48","f49","f50"
"T0000027","short-ur",0.0076,316.5281,49800,49800,49800,49800,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,55600,55600,55600,56600,56600,56600,56100,56100,56100,56100,56100,56100,56100,56100,56100,56100,56600,56600,56600,56600,56600,56600,56600,56100,56100,56100,56100,56100,56100,56100,56100,56100,NA
"T0000027","flat",0.0143,319.1838,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,41000,NA,NA,NA,NA,40500,40500,41500,41500,41500,41000,41000,41000,41000,41000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"T0000027","flat",0.0143,323.5655,72700,72700,71700,71700,71700,71700,72700,72200,72200,72200,72200,72200,72200,72200,73200,73200,73200,73200,73200,73200,73200,73200,73200,73200,73200,73200,73200,73200,73200,73200,73200,73200,72700,72700,72700,72200,72200,72200,72200,71700,71700,71700,71700,71700,71700,71700,71700,71700,71200,70800
"T0000027","complex",0.0322,325.4579,NA,NA,NA,NA,NA,64400,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,66800,NA,NA,NA,71700,72200,72200,72700,72700,72700,72700,72700,72700,72200,71700,71700,71700,72700,NA,71700,NA,70800,65900,65900,65400
"T0000027","complex",0.1413,325.6181,NA,41500,42400,43400,43400,48300,47300,42900,42400,NA,NA,NA,43400,43400,43900,42900,41900,NA,NA,NA,NA,NA,42900,43400,42900,NA,NA,NA,NA,NA,NA,NA,43400,49300,50200,50700,51200,49300,47800,43400,42900,43400,43900,48300,48800,49300,47800,43900,43400,NA
"T0000027","complex",0.2621,325.8833,41500,42900,43900,44400,48300,47800,46300,42900,42400,42400,41500,40000,40500,41500,41900,40000,NA,NA,NA,42400,41000,NA,39000,42400,50200,49800,46300,41900,43400,50200,49800,48800,49300,50200,50200,50200,49800,50200,49800,49300,48800,48300,48800,49300,49300,47800,54600,NA,NA,NA
"T0000027","complex",0.1039,326.2617,39500,41000,41500,41900,42400,42900,42900,42400,42400,42400,42900,43400,47300,48300,48300,48800,48800,48300,47300,47300,46300,45800,45800,46800,47300,48300,49300,49300,49800,49800,49800,48800,47800,47300,46800,42900,42900,43400,48300,48800,49800,49800,48300,48800,47800,47300,47300,46300,43900,NA
"T0000027","inverted-u",0.0194,326.4092,53700,53700,53200,NA,53700,53700,NA,NA,NA,NA,55100,55100,55600,NA,NA,56100,56100,57100,57100,56100,56600,NA,NA,NA,58100,58100,58500,58500,58500,58500,59000,59000,59000,58500,58500,59000,59000,57100,57600,57100,57100,57100,57100,57100,NA,NA,56600,NA,NA,NA
"T0000027","flat-mz",0.1582,326.4998,40500,41000,41500,41900,42400,41900,42400,42400,42400,42400,42900,42900,43400,43400,43900,43900,43900,43400,43400,43400,43400,43400,46300,46300,46300,46300,46300,46300,46300,46300,46300,46800,46300,46300,46300,46300,46300,46800,46300,46300,45400,41900,41500,41000,40500,41000,41500,41500,41000,40000
"T0000027","complex",0.1136,326.7834,NA,42900,47800,49800,49800,49300,47300,NA,42400,41900,NA,NA,NA,40000,41900,43400,48800,49800,50200,49800,42900,41900,NA,NA,NA,44400,48300,50200,50200,50200,49800,47800,46800,46800,47300,46800,42400,42400,NA,42900,42900,43400,43400,43900,43900,43900,43900,43400,42900,42900
"T0000027","flat-z",0.1356,327.0103,40500,41000,41000,41500,41900,41900,42400,41500,42400,42400,42400,42900,43900,46300,46300,46300,46300,46800,46800,46800,46800,47300,47300,47300,47300,47300,47300,47300,47300,47800,47800,47800,47800,47800,47300,47300,47800,47800,47300,47300,47300,46800,46300,46300,46800,47300,47800,48800,47300,NA
"T0000027","complex",0.1413,327.2765,40000,41000,NA,41900,NA,42400,42400,42400,41900,41900,41900,NA,41900,41900,41900,41900,41900,41900,41900,41900,41900,41900,41900,41900,42400,42400,42900,42900,44900,45400,45400,45400,45400,45800,45800,45800,45800,45400,45400,41900,41500,41900,42400,NA,45800,46300,47300,47300,46800,46800
"T0000027","flat",0.0302,327.5566,NA,NA,47300,46300,46800,46800,46800,46800,46800,46800,46800,47300,47300,47300,47300,47300,47300,47300,47300,47300,46800,47300,46800,46800,46800,46800,46800,46300,46300,46300,46300,46300,46300,45800,NA,44400,NA,43900,44400,44400,43900,43900,43900,NA,NA,43900,43900,43900,44400,NA
"T0000027","complex",0.1285,327.7184,46800,46800,46800,46800,46800,46300,45800,45400,45400,42900,42400,42400,42400,41900,NA,41900,41900,41900,41900,41900,41900,41900,41900,41900,41900,42400,45800,46300,46800,47300,47300,47800,47300,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,46300,46300,NA
"T0000027","trill",0.0435,327.9574,46800,47800,48800,49300,49300,49800,49300,49300,49300,49300,48800,47800,47800,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,48300,47800,47800,47800,47800,47300,47300,47300,NA,NA,71200,71200,NA,NA,NA,NA,NA,NA,NA
"T0000027","short-c",0.0112,361.3158,NA,NA,NA,60500,60500,NA,NA,59000,59000,NA,NA,NA,NA,NA,55600,55600,NA,NA,55600,55600,55600,55600,55600,NA,NA,NA,NA,56600,56600,NA,NA,NA,58500,58500,58500,58500,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"T0000027","flat",0.1111,373.9263,NA,NA,NA,NA,53200,NA,53200,53200,53200,NA,53200,NA,53700,NA,NA,54100,NA,NA,53200,53200,53700,53700,53700,NA,NA,NA,53700,NA,NA,NA,53700,53200,53700,53700,53200,52700,53200,NA,NA,NA,NA,NA,NA,NA,49800,NA,NA,NA,NA,NA
"T0000027","complex",0.0916,374.1373,NA,NA,47300,47800,48800,49300,49300,49300,49800,49800,49800,49800,49800,49800,49800,49800,49800,NA,NA,48800,48800,48800,49300,49300,49800,49300,49800,49800,49800,49300,49300,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,48800,50200,NA,49800,49300,NA,NA
