"","label","file.name","recording","strain"
"581","trill-c","T0000302","PupsSep","WK"
"582","trill-c","T0000302","PupsSep","WK"
"583","trill-c","T0000302","PupsSep","WK"
"584","trill-f","T0000302","PupsSep","WK"
"585","flat","T0000302","PupsSep","WK"
"586","flat-z","T0000302","PupsSep","WK"
"587","flat","T0000302","PupsSep","WK"
"588","short","T0000302","PupsSep","WK"
"589","unclear","T0000302","PupsSep","WK"
"590","short","T0000302","PupsSep","WK"
"591","short","T0000302","PupsSep","WK"
"592","short","T0000302","PupsSep","WK"
"593","unclear","T0000302","PupsSep","WK"
"594","flat","T0000302","PupsSep","WK"
"595","flat","T0000302","PupsSep","WK"
"596","flat","T0000302","PupsSep","WK"
"597","flat-z","T0000302","PupsSep","WK"
"598","short","T0000302","PupsSep","WK"
"599","short","T0000302","PupsSep","WK"
"600","unclear","T0000302","PupsSep","WK"
"601","short","T0000302","PupsSep","WK"
"602","short","T0000302","PupsSep","WK"
"603","flat-z","T0000302","PupsSep","WK"
"604","flat","T0000302","PupsSep","WK"
"605","short","T0000302","PupsSep","WK"
"606","short","T0000302","PupsSep","WK"
"607","short","T0000302","PupsSep","WK"
"608","flat","T0000302","PupsSep","WK"
"609","flat","T0000302","PupsSep","WK"
"610","flat","T0000302","PupsSep","WK"
